,support,itemsets
270,0.034118236472945894,frozenset({'GUMBALL COAT RACK'})
1235,0.03406813627254509,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})"
273,0.03391783567134268,frozenset({'HAND OVER THE CHOCOLATE   SIGN '})
493,0.03371743486973948,frozenset({'PLASTERS IN TIN SPACEBOY'})
249,0.03356713426853707,frozenset({'GINGERBREAD MAN COOKIE CUTTER'})
433,0.03356713426853707,frozenset({'PACK OF 20 NAPKINS PANTRY DESIGN'})
389,0.03346693386773547,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
443,0.03321643286573146,frozenset({'PACK OF 72 SKULL CAKE CASES'})
345,0.03316633266533066,frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'})
135,0.03311623246492986,frozenset({'CHILLI LIGHTS'})
522,0.03311623246492986,frozenset({'RED  HARMONICA IN BOX '})
313,0.03291583166332665,frozenset({'HOT WATER BOTTLE I AM SO POORLY'})
339,0.03291583166332665,frozenset({'JUMBO BAG OWLS'})
276,0.03276553106212425,frozenset({'HAND WARMER OWL DESIGN'})
311,0.032364729458917836,frozenset({'HOMEMADE JAM SCENTED CANDLES'})
315,0.03221442885771543,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'})
1355,0.03211422845691383,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG  BLACK SKULL.'})"
843,0.03206412825651302,"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})"
1031,0.031663326653306616,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})"
59,0.03161322645290581,frozenset({'BATHROOM METAL SIGN'})
696,0.03151302605210421,frozenset({'SMALL WHITE HEART OF WICKER'})
373,0.03151302605210421,frozenset({'LOVE BUILDING BLOCK WORD'})
656,0.03151302605210421,frozenset({'SET OF 60 PANTRY DESIGN CAKE CASES '})
566,0.0312124248496994,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'})
159,0.031112224448897795,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'})
27,0.030961923847695392,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'})
187,0.030861723446893786,frozenset({'DOORMAT UNION FLAG'})
479,0.030861723446893786,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '})
29,0.030811623246492986,frozenset({'72 SWEETHEART FAIRY CAKE CASES'})
622,0.030561122244488977,frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'})
458,0.030561122244488977,frozenset({'PAPER CHAIN KIT RETROSPOT'})
312,0.030511022044088176,frozenset({'HOT BATHS METAL SIGN'})
730,0.030511022044088176,frozenset({'TRADITIONAL KNITTING NANCY'})
763,0.030410821643286574,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '})
1411,0.03036072144288577,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG RED RETROSPOT'})"
72,0.030210420841683367,frozenset({'BLUE HARMONICA IN BOX '})
284,0.030210420841683367,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'})
388,0.030110220440881765,frozenset({'LUNCH BAG VINTAGE DOILY '})
438,0.030110220440881765,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'})
183,0.03006012024048096,frozenset({'DOORMAT NEW ENGLAND'})
1533,0.02995991983967936,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})"
341,0.029809619238476952,frozenset({'JUMBO BAG PEARS'})
179,0.02965931863727455,frozenset({'DOORMAT HEARTS'})
692,0.029509018036072143,frozenset({'SMALL POPCORN HOLDER'})
789,0.02940881763527054,frozenset({'WOODEN BOX OF DOMINOES'})
1124,0.02930861723446894,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO  BAG BAROQUE BLACK WHITE'})"
117,0.029208416833667334,frozenset({'CHARLOTTE BAG APPLES DESIGN'})
81,0.029208416833667334,frozenset({'BOX OF 24 COCKTAIL PARASOLS'})
593,0.029108216432865732,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS '})
1242,0.029008016032064127,"frozenset({'JUMBO BAG RED RETROSPOT', 'LUNCH BAG RED RETROSPOT'})"
544,0.028807615230460923,frozenset({'RED RETROSPOT SHOPPER BAG'})
712,0.028707414829659317,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'})
491,0.028607214428857716,frozenset({'PLASTERS IN TIN CIRCUS PARADE '})
38,0.028557114228456915,frozenset({'ALARM CLOCK BAKELIKE IVORY'})
495,0.028356713426853707,frozenset({'PLASTERS IN TIN VINTAGE PAISLEY '})
368,0.0281563126252505,frozenset({'LARGE WHITE HEART OF WICKER'})
267,0.0281062124248497,frozenset({'GREY HEART HOT WATER BOTTLE'})
492,0.028056112224448898,frozenset({'PLASTERS IN TIN SKULLS'})
1422,0.028056112224448898,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG SPACEBOY DESIGN '})"
1423,0.02785571142284569,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG SUKI DESIGN '})"
1394,0.02775551102204409,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG CARS BLUE'})"
275,0.02775551102204409,frozenset({'HAND WARMER BIRD DESIGN'})
1512,0.027655310621242483,"frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS', ""PAPER CHAIN KIT 50'S CHRISTMAS ""})"
617,0.027655310621242483,frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'})
126,0.02755511022044088,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'})
279,0.02745490981963928,frozenset({'HAND WARMER SCOTTY DOG DESIGN'})
214,0.02740480961923848,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'})
1157,0.027354709418837674,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG APPLES'})"
528,0.027354709418837674,frozenset({'RED KITCHEN SCALES'})
1018,0.027354709418837674,"frozenset({'GARDENERS KNEELING PAD KEEP CALM ', 'GARDENERS KNEELING PAD CUP OF TEA '})"
139,0.027254509018036072,frozenset({'CHRISTMAS CRAFT LITTLE FRIENDS'})
1354,0.027254509018036072,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG  BLACK SKULL.'})"
375,0.027254509018036072,frozenset({'LOVEBIRD HANGING DECORATION WHITE '})
785,0.02720440881763527,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'})
688,0.027104208416833666,frozenset({'SMALL GLASS HEART TRINKET POT'})
1711,0.027104208416833666,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})"
195,0.027054108216432865,frozenset({'EDWARDIAN PARASOL NATURAL'})
533,0.027004008016032064,frozenset({'RED RETROSPOT CAKE STAND'})
1646,0.027004008016032064,"frozenset({'WOODEN PICTURE FRAME WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})"
962,0.026953907815631263,"frozenset({'DOLLY GIRL LUNCH BOX', 'SPACEBOY LUNCH BOX '})"
507,0.026953907815631263,frozenset({'POTTERING IN THE SHED METAL SIGN'})
793,0.026953907815631263,frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'})
1230,0.026853707414829658,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG STRAWBERRY'})"
807,0.026803607214428857,frozenset({'ZINC METAL HEART DECORATION'})
1234,0.026803607214428857,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG WOODLAND ANIMALS'})"
801,0.026803607214428857,frozenset({'WORLD WAR 2 GLIDERS ASSTD DESIGNS'})
737,0.026753507014028056,frozenset({'TRAVEL CARD WALLET KEEP CALM'})
541,0.026603206412825653,frozenset({'RED RETROSPOT PICNIC BAG'})
714,0.02655310621242485,frozenset({'SUKI  SHOULDER BAG'})
673,0.026402805611222446,frozenset({'SET/6 RED SPOTTY PAPER PLATES'})
699,0.026402805611222446,frozenset({'SPACEBOY BIRTHDAY CARD'})
687,0.026402805611222446,frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'})
1426,0.026352705410821645,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG WOODLAND'})"
1575,0.02630260521042084,"frozenset({'REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER '})"
1316,0.02625250501002004,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})"
165,0.02625250501002004,frozenset({'CREAM HEART CARD HOLDER'})
478,0.026152304609218437,frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'})
348,0.026152304609218437,frozenset({'JUMBO BAG TOYS '})
1352,0.026152304609218437,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG  BLACK SKULL.'})"
911,0.026152304609218437,"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})"
441,0.026052104208416832,frozenset({'PACK OF 60 SPACEBOY CAKE CASES'})
166,0.02600200400801603,frozenset({'CREAM SWEETHEART MINI CHEST'})
52,0.02595190380761523,frozenset({'ASSORTED COLOURS SILK FAN'})
1214,0.02595190380761523,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK VINTAGE PAISLEY'})"
621,0.02590180360721443,frozenset({'SET OF 20 KIDS COOKIE CUTTERS'})
1202,0.025801603206412827,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT'})"
494,0.025801603206412827,frozenset({'PLASTERS IN TIN STRONGMAN'})
1357,0.025801603206412827,"frozenset({'LUNCH BAG SUKI DESIGN ', 'LUNCH BAG  BLACK SKULL.'})"
337,0.025751503006012023,frozenset({'JUMBO BAG DOILEY PATTERNS'})
1356,0.02565130260521042,"frozenset({'LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG  BLACK SKULL.'})"
425,0.02565130260521042,frozenset({'PACK OF 12 LONDON TISSUES '})
797,0.02565130260521042,frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'})
658,0.02555110220440882,frozenset({'SET OF 72 PINK HEART PAPER DOILIES'})
1034,0.025501002004008014,"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})"
717,0.025501002004008014,frozenset({'SWEETHEART CERAMIC TRINKET BOX'})
679,0.025400801603206413,frozenset({'SINGLE HEART ZINC T-LIGHT HOLDER'})
931,0.025400801603206413,"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})"
200,0.02535070140280561,frozenset({'ENAMEL FLOWER JUG CREAM'})
1566,0.02530060120240481,"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG'})"
470,0.02525050100200401,frozenset({'PHOTO FRAME CORNICE'})
178,0.025150300601202404,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'})
1393,0.025150300601202404,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG CARS BLUE'})"
779,0.025,frozenset({'WHITE SKULL HOT WATER BOTTLE '})
419,0.024849699398797595,frozenset({'NO SINGING METAL SIGN'})
482,0.024799599198396794,frozenset({'PINK FAIRY CAKE CHILDRENS APRON'})
1562,0.024799599198396794,"frozenset({'RED HANGING HEART T-LIGHT HOLDER', 'WHITE HANGING HEART T-LIGHT HOLDER'})"
1055,0.02469939879759519,"frozenset({'HEART OF WICKER SMALL', 'HEART OF WICKER LARGE'})"
401,0.02469939879759519,frozenset({'METAL 4 HOOK HANGER FRENCH CHATEAU'})
380,0.024649298597194388,frozenset({'LUNCH BAG DOILEY PATTERN '})
212,0.024549098196392786,frozenset({'FAWN BLUE HOT WATER BOTTLE'})
1381,0.02439879759519038,"frozenset({'LUNCH BAG APPLE DESIGN', 'LUNCH BAG RED RETROSPOT'})"
1564,0.02434869739478958,"frozenset({'STRAWBERRY CHARLOTTE BAG', 'RED RETROSPOT CHARLOTTE BAG'})"
975,0.024298597194388778,"frozenset({'JUMBO BAG RED RETROSPOT', 'DOTCOM POSTAGE'})"
540,0.024298597194388778,frozenset({'RED RETROSPOT PEG BAG'})
1524,0.024198396793587176,"frozenset({'SPOTTY BUNTING', 'PARTY BUNTING'})"
1395,0.024198396793587176,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SPACEBOY DESIGN '})"
20,0.024198396793587176,frozenset({'4 TRADITIONAL SPINNING TOPS'})
392,0.02414829659318637,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT '})
215,0.02409819639278557,frozenset({'FELTCRAFT BUTTERFLY HEARTS'})
185,0.02404809619238477,frozenset({'DOORMAT SPOTTY HOME SWEET HOME'})
1448,0.02399799599198397,"frozenset({'LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG WOODLAND'})"
280,0.02399799599198397,frozenset({'HAND WARMER UNION JACK'})
363,0.023947895791583167,frozenset({'LADIES & GENTLEMEN METAL SIGN'})
669,0.023897795591182366,frozenset({'SET/3 RED GINGHAM ROSE STORAGE BOX'})
415,0.023847695390781562,frozenset({'NATURAL SLATE CHALKBOARD LARGE '})
374,0.023847695390781562,frozenset({'LOVE HOT WATER BOTTLE'})
349,0.023847695390781562,frozenset({'JUMBO BAG VINTAGE CHRISTMAS '})
769,0.02379759519038076,frozenset({'VINTAGE UNION JACK BUNTING'})
447,0.02379759519038076,frozenset({'PANTRY MAGNETIC  SHOPPING LIST'})
1087,0.023647294589178358,"frozenset({'JAM MAKING SET PRINTED', 'JAM MAKING SET WITH JARS'})"
690,0.023647294589178358,frozenset({'SMALL HEART MEASURING SPOONS'})
1396,0.023597194388777554,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN '})"
218,0.023547094188376753,frozenset({'FELTCRAFT CUSHION OWL'})
662,0.023547094188376753,frozenset({'SET OF TEA COFFEE SUGAR TINS PANTRY'})
851,0.023547094188376753,"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE PINK'})"
727,0.023496993987975952,frozenset({'TOY TIDY PINK POLKADOT'})
15,0.02344689378757515,frozenset({'3 STRIPEY MICE FELTCRAFT'})
138,0.02344689378757515,frozenset({'CHOCOLATE THIS WAY METAL SIGN'})
1200,0.02344689378757515,"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})"
744,0.02339679358717435,frozenset({'TRAVEL SEWING KIT'})
723,0.02339679358717435,frozenset({'TEA TIME PARTY BUNTING'})
464,0.02339679358717435,frozenset({'PARTY METAL SIGN '})
56,0.023246492985971944,frozenset({'BAKING SET SPACEBOY DESIGN'})
517,0.023246492985971944,frozenset({'RECIPE BOX RETROSPOT '})
472,0.02309619238476954,frozenset({'PICNIC BASKET WICKER SMALL'})
524,0.023046092184368736,frozenset({'RED DINER WALL CLOCK'})
362,0.022995991983967935,frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'})
400,0.022995991983967935,frozenset({'MEMO BOARD RETROSPOT  DESIGN'})
140,0.022895791583166333,frozenset({'CHRISTMAS CRAFT TREE TOP ANGEL'})
805,0.022845691382765532,frozenset({'ZINC FOLKART SLEIGH BELLS'})
936,0.022845691382765532,"frozenset({'WOODLAND CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})"
1445,0.022795591182364728,"frozenset({'LUNCH BAG SUKI DESIGN ', 'LUNCH BAG SPACEBOY DESIGN '})"
199,0.022745490981963927,frozenset({'ENAMEL BREAD BIN CREAM'})
830,0.022695390781563126,"frozenset({'PACK OF 72 RETROSPOT CAKE CASES', '60 TEATIME FAIRY CAKE CASES'})"
659,0.022695390781563126,frozenset({'SET OF 72 RETROSPOT PAPER  DOILIES'})
538,0.022595190380761524,frozenset({'RED RETROSPOT OVEN GLOVE '})
599,0.022595190380761524,frozenset({'SCANDINAVIAN REDS RIBBONS'})
804,0.022545090180360723,"frozenset({""YOU'RE CONFUSING ME METAL SIGN ""})"
338,0.022545090180360723,frozenset({'JUMBO BAG DOLLY GIRL DESIGN'})
224,0.02249498997995992,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'})
1307,0.02249498997995992,"frozenset({'JUMBO BAG WOODLAND ANIMALS', 'JUMBO STORAGE BAG SUKI'})"
1383,0.02249498997995992,"frozenset({'LUNCH BAG APPLE DESIGN', 'LUNCH BAG SUKI DESIGN '})"
62,0.02249498997995992,frozenset({'BEWARE OF THE CAT METAL SIGN '})
589,0.02249498997995992,frozenset({'ROTATING SILVER ANGELS T-LIGHT HLDR'})
1398,0.022444889779559118,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})"
1228,0.022444889779559118,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'})"
531,0.022444889779559118,frozenset({'RED RETROSPOT BOWL'})
691,0.022394789579158317,frozenset({'SMALL MARSHMALLOWS PINK BOWL'})
1273,0.022344689378757516,"frozenset({'JUMBO BAG RED RETROSPOT', 'WHITE HANGING HEART T-LIGHT HOLDER'})"
598,0.022344689378757516,frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'})
121,0.022294589178356715,frozenset({'CHARLOTTE BAG VINTAGE ALPHABET '})
562,0.022294589178356715,frozenset({'REGENCY TEA PLATE ROSES '})
631,0.022294589178356715,frozenset({'SET OF 3 WOODEN HEART DECORATIONS'})
39,0.022294589178356715,frozenset({'ALARM CLOCK BAKELIKE ORANGE'})
471,0.022294589178356715,frozenset({'PICNIC BASKET WICKER LARGE'})
1360,0.02224448897795591,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG  BLACK SKULL.'})"
618,0.02224448897795591,frozenset({'SET OF 12 MINI LOAF BAKING CASES'})
190,0.02219438877755511,frozenset({'DOORMAT WELCOME TO OUR HOME'})
431,0.02219438877755511,frozenset({'PACK OF 12 TRADITIONAL CRAYONS'})
651,0.02219438877755511,frozenset({'SET OF 6 SOLDIER SKITTLES'})
101,0.02219438877755511,frozenset({'CARD BILLBOARD FONT'})
154,0.022094188376753508,frozenset({'CLEAR DRAWER KNOB ACRYLIC EDWARDIAN'})
49,0.0218937875751503,frozenset({'AREA PATROLLED METAL SIGN'})
553,0.0218937875751503,frozenset({'RED STRIPE CERAMIC DRAWER KNOB'})
26,0.0218937875751503,frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'})
504,0.0218436873747495,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})"
457,0.0218436873747495,frozenset({'PAPER CHAIN KIT EMPIRE'})
766,0.0218436873747495,frozenset({'VINTAGE PAISLEY STATIONERY SET'})
796,0.021693386773547093,frozenset({'WOODEN SCHOOL COLOURING SET'})
725,0.021693386773547093,frozenset({'TOILET SIGN OCCUPIED OR VACANT'})
1490,0.02154308617234469,"frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES', 'PACK OF 72 RETROSPOT CAKE CASES'})"
611,0.02154308617234469,"frozenset({'SET 3 RETROSPOT TEA,COFFEE,SUGAR'})"
1199,0.02149298597194389,"frozenset({'JUMBO BAG WOODLAND ANIMALS', 'JUMBO BAG PINK POLKADOT'})"
783,0.02149298597194389,frozenset({'WHITE WOOD GARDEN PLANT LADDER'})
555,0.02149298597194389,frozenset({'RED WOOLLY HOTTIE WHITE HEART.'})
1229,0.02149298597194389,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG SPACEBOY DESIGN'})"
1412,0.021442885771543085,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG SPACEBOY DESIGN '})"
672,0.021442885771543085,frozenset({'SET/6 RED SPOTTY PAPER CUPS'})
